season,team_a,team_b,team_a_seed,team_b_seed,score_a,score_b,winner
2011,Butler,Wisconsin,8,4,61,54,1
2011,Connecticut,San Diego St.,3,2,74,67,1
2011,Florida,BYU,2,3,83,74,1
2011,Kansas,Richmond,1,12,77,57,1
2011,Kentucky,Ohio St.,4,1,62,60,1
2011,North Carolina,Marquette,2,11,81,63,1
2011,VCU,Florida St.,11,10,72,71,1
2011,Butler,Florida,8,2,74,71,1
2011,Connecticut,Arizona,3,5,65,63,1
2011,Kentucky,North Carolina,4,2,76,69,1
2011,VCU,Kansas,11,1,71,61,1
2011,Butler,VCU,8,11,70,62,1
2011,Connecticut,Kentucky,3,4,56,55,1
2011,Connecticut,Butler,3,8,53,41,1
2012,BYU,Iona,14,14,78,72,1
2012,Western Kentucky,Mississippi Valley St.,16,16,59,58,1
2012,South Florida,California,12,12,65,54,1
2012,Vermont,Lamar,16,16,71,59,1
2012,Baylor,South Dakota St.,3,14,68,60,1
2012,Colorado,UNLV,11,6,68,64,1
2012,Gonzaga,West Virginia,7,10,77,54,1
2012,Indiana,New Mexico St.,4,13,79,66,1
2012,Iowa St.,Connecticut,8,9,77,64,1
2012,Kansas St.,Southern Miss,8,9,70,64,1
2012,Kentucky,Western Kentucky,1,16,81,66,1
2012,Louisville,Davidson,4,13,69,62,1
2012,Marquette,BYU,3,14,88,68,1
2012,Murray St.,Colorado St.,6,11,58,41,1
2012,New Mexico,Long Beach St.,5,12,75,68,1
2012,Ohio St.,Loyola MD,2,15,78,59,1
2012,Syracuse,UNC Asheville,1,16,72,65,1
2012,VCU,Wichita St.,12,5,62,59,1
2012,Vanderbilt,Harvard,5,12,79,70,1
2012,Wisconsin,Montana,4,13,73,49,1
2012,Cincinnati,Texas,6,11,65,59,1
2012,Creighton,Alabama,8,9,58,57,1
2012,Florida,Virginia,7,10,71,45,1
2012,Florida St.,St. Bonaventure,3,14,66,63,1
2012,Georgetown,Belmont,3,14,74,59,1
2012,Kansas,Detroit,2,15,65,50,1
2012,Lehigh,Duke,15,2,75,70,1
2012,Michigan St.,LIU Brooklyn,1,16,89,67,1
2012,NC State,San Diego St.,11,6,79,65,1
2012,Norfolk St.,Missouri,15,2,86,84,1
2012,North Carolina,Vermont,1,16,77,58,1
2012,Ohio,Michigan,13,4,65,60,1
2012,Purdue,St. Mary's,10,7,72,69,1
2012,South Florida,Temple,12,5,58,44,1
2012,Saint Louis,Memphis,9,8,61,54,1
2012,Xavier,Notre Dame,10,7,67,63,1
2012,Baylor,Colorado,3,11,80,63,1
2012,Indiana,VCU,4,12,63,61,1
2012,Kentucky,Iowa St.,1,8,87,71,1
2012,Louisville,New Mexico,4,5,59,56,1
2012,Marquette,Murray St.,3,6,62,53,1
2012,Ohio St.,Gonzaga,2,7,73,66,1
2012,Syracuse,Kansas St.,1,8,75,59,1
2012,Wisconsin,Vanderbilt,4,5,60,57,1
2012,Cincinnati,Florida St.,6,3,62,56,1
2012,Florida,Norfolk St.,7,15,84,50,1
2012,Kansas,Purdue,2,10,63,60,1
2012,Michigan St.,Saint Louis,1,9,65,61,1
2012,NC State,Georgetown,11,3,66,63,1
2012,North Carolina,Creighton,1,8,87,73,1
2012,Ohio,South Florida,13,12,62,56,1
2012,Xavier,Lehigh,10,15,70,58,1
2012,Florida,Marquette,7,3,68,58,1
2012,Louisville,Michigan St.,4,1,57,44,1
2012,Ohio St.,Cincinnati,2,6,81,66,1
2012,Syracuse,Wisconsin,1,4,64,63,1
2012,Baylor,Xavier,3,10,75,70,1
2012,Kansas,NC State,2,11,60,57,1
2012,Kentucky,Indiana,1,4,102,90,1
2012,North Carolina,Ohio,1,13,73,65,1
2012,Louisville,Florida,4,7,72,68,1
2012,Ohio St.,Syracuse,2,1,77,70,1
2012,Kansas,North Carolina,2,1,80,67,1
2012,Kentucky,Baylor,1,3,82,70,1
2012,Kansas,Ohio St.,2,2,64,62,1
2012,Kentucky,Louisville,1,4,69,61,1
2012,Kentucky,Kansas,1,2,67,59,1
2013,North Carolina A&T,Liberty,16,16,73,72,1
2013,St. Mary's,Middle Tennessee,11,11,67,54,1
2013,James Madison,LIU Brooklyn,16,16,68,55,1
2013,La Salle,Boise St.,13,13,80,71,1
2013,Arizona,Belmont,6,11,81,64,1
2013,Butler,Bucknell,6,11,68,56,1
2013,California,UNLV,12,5,64,61,1
2013,Colorado St.,Missouri,8,9,84,72,1
2013,Gonzaga,Southern,1,16,64,58,1
2013,Harvard,New Mexico,14,3,68,62,1
2013,Louisville,North Carolina A&T,1,16,79,48,1
2013,Marquette,Davidson,3,14,59,58,1
2013,Memphis,St. Mary's,6,11,54,52,1
2013,Michigan,South Dakota St.,4,13,71,56,1
2013,Michigan St.,Valparaiso,3,14,65,54,1
2013,Oregon,Oklahoma St.,12,5,68,55,1
2013,Saint Louis,New Mexico St.,4,13,64,44,1
2013,Syracuse,Montana,4,13,81,34,1
2013,VCU,Akron,5,12,88,42,1
2013,Wichita St.,Pittsburgh,9,8,73,55,1
2013,Creighton,Cincinnati,7,10,67,63,1
2013,Duke,Albany,2,15,73,61,1
2013,Florida Gulf Coast,Georgetown,15,2,78,68,1
2013,Florida,Northwestern St.,3,14,79,47,1
2013,Illinois,Colorado,7,10,57,49,1
2013,Indiana,James Madison,1,16,83,62,1
2013,Iowa St.,Notre Dame,10,7,76,58,1
2013,Kansas,Western Kentucky,1,16,64,57,1
2013,La Salle,Kansas St.,13,4,63,61,1
2013,Miami FL,Pacific,2,15,78,49,1
2013,Minnesota,UCLA,11,6,83,63,1
2013,Mississippi,Wisconsin,12,5,57,46,1
2013,North Carolina,Villanova,8,9,78,71,1
2013,Ohio St.,Iona,2,15,95,70,1
2013,San Diego St.,Oklahoma,7,10,70,55,1
2013,Temple,NC State,9,8,76,72,1
2013,Arizona,Harvard,6,14,74,51,1
2013,Louisville,Colorado St.,1,8,82,56,1
2013,Marquette,Butler,3,6,74,72,1
2013,Michigan,VCU,4,5,78,53,1
2013,Michigan St.,Memphis,3,6,70,48,1
2013,Oregon,Saint Louis,12,4,74,57,1
2013,Syracuse,California,4,12,66,60,1
2013,Wichita St.,Gonzaga,9,1,76,70,1
2013,Duke,Creighton,2,7,66,50,1
2013,Florida Gulf Coast,San Diego St.,15,7,81,71,1
2013,Florida,Minnesota,3,11,78,64,1
2013,Indiana,Temple,1,9,58,52,1
2013,Kansas,North Carolina,1,8,70,58,1
2013,La Salle,Mississippi,13,12,76,74,1
2013,Miami FL,Illinois,2,7,63,59,1
2013,Ohio St.,Iowa St.,2,10,78,75,1
2013,Marquette,Miami FL,3,2,71,61,1
2013,Ohio St.,Arizona,2,6,73,70,1
2013,Syracuse,Indiana,4,1,61,50,1
2013,Wichita St.,La Salle,9,13,72,58,1
2013,Duke,Michigan St.,2,3,71,61,1
2013,Florida,Florida Gulf Coast,3,15,62,50,1
2013,Louisville,Oregon,1,12,77,69,1
2013,Michigan,Kansas,4,1,87,85,1
2013,Syracuse,Marquette,4,3,55,39,1
2013,Wichita St.,Ohio St.,9,2,70,66,1
2013,Louisville,Duke,1,2,85,63,1
2013,Michigan,Florida,4,3,79,59,1
2013,Louisville,Wichita St.,1,9,72,68,1
2013,Michigan,Syracuse,4,4,61,56,1
2013,Louisville,Michigan,1,4,82,76,1
2014,Albany,Mount St. Mary's,16,16,71,64,1
2014,NC State,Xavier,12,12,74,59,1
2014,Cal Poly,Texas Southern,16,16,81,69,1
2014,Tennessee,Iowa,11,11,78,65,1
2014,Connecticut,St. Joseph's,7,10,89,81,1
2014,Dayton,Ohio St.,11,6,60,59,1
2014,Florida,Albany,1,16,67,55,1
2014,Harvard,Cincinnati,12,5,61,57,1
2014,Louisville,Manhattan,4,13,71,64,1
2014,Michigan,Wofford,2,15,57,40,1
2014,Michigan St.,Delaware,4,13,93,78,1
2014,North Dakota St.,Oklahoma,12,5,80,75,1
2014,Oregon,BYU,7,10,87,68,1
2014,Pittsburgh,Colorado,9,8,77,48,1
2014,San Diego St.,New Mexico St.,4,13,73,69,1
2014,Saint Louis,NC State,5,12,83,80,1
2014,Syracuse,Western Michigan,3,14,77,53,1
2014,Texas,Arizona St.,7,10,87,85,1
2014,Villanova,Wisconsin Milwaukee,2,15,73,53,1
2014,Wisconsin,American,2,15,75,35,1
2014,Arizona,Weber St.,1,16,68,59,1
2014,Baylor,Nebraska,6,11,74,60,1
2014,Creighton,Louisiana,3,14,76,66,1
2014,Gonzaga,Oklahoma St.,8,9,85,77,1
2014,Iowa St.,North Carolina Central,3,14,93,75,1
2014,Kansas,Eastern Kentucky,2,15,80,69,1
2014,Kentucky,Kansas St.,8,9,56,49,1
2014,Memphis,George Washington,8,9,71,66,1
2014,Mercer,Duke,14,3,78,71,1
2014,North Carolina,Providence,6,11,79,77,1
2014,Stephen F. Austin,VCU,12,5,77,75,1
2014,Stanford,New Mexico,10,7,58,53,1
2014,Tennessee,Massachusetts,11,6,86,67,1
2014,UCLA,Tulsa,4,13,76,59,1
2014,Virginia,Coastal Carolina,1,16,70,59,1
2014,Wichita St.,Cal Poly,1,16,64,37,1
2014,Connecticut,Villanova,7,2,77,65,1
2014,Dayton,Syracuse,11,3,55,53,1
2014,Florida,Pittsburgh,1,9,61,45,1
2014,Louisville,Saint Louis,4,5,66,51,1
2014,Michigan,Texas,2,7,79,65,1
2014,Michigan St.,Harvard,4,12,80,73,1
2014,San Diego St.,North Dakota St.,4,12,63,44,1
2014,Wisconsin,Oregon,2,7,85,77,1
2014,Arizona,Gonzaga,1,8,84,61,1
2014,Baylor,Creighton,6,3,85,55,1
2014,Iowa St.,North Carolina,3,6,85,83,1
2014,Kentucky,Wichita St.,8,1,78,76,1
2014,Stanford,Kansas,10,2,60,57,1
2014,Tennessee,Mercer,11,14,83,63,1
2014,UCLA,Stephen F. Austin,4,12,77,60,1
2014,Virginia,Memphis,1,8,78,60,1
2014,Arizona,San Diego St.,1,4,70,64,1
2014,Dayton,Stanford,11,10,82,72,1
2014,Florida,UCLA,1,4,79,68,1
2014,Wisconsin,Baylor,2,6,69,52,1
2014,Connecticut,Iowa St.,7,3,81,76,1
2014,Kentucky,Louisville,8,4,74,69,1
2014,Michigan,Tennessee,2,11,73,71,1
2014,Michigan St.,Virginia,4,1,61,59,1
2014,Florida,Dayton,1,11,62,52,1
2014,Wisconsin,Arizona,2,1,64,63,1
2014,Connecticut,Michigan St.,7,4,60,54,1
2014,Kentucky,Michigan,8,2,75,72,1
2014,Connecticut,Florida,7,1,63,53,1
2014,Kentucky,Wisconsin,8,2,74,73,1
2014,Connecticut,Kentucky,7,8,60,54,1
2015,Hampton,Manhattan,16,16,74,64,1
2015,Mississippi,BYU,11,11,94,90,1
2015,Dayton,Boise St.,11,11,56,55,1
2015,Robert Morris,North Florida,16,16,81,77,1
2015,Arizona,Texas Southern,2,15,93,72,1
2015,Arkansas,Wofford,5,12,56,53,1
2015,Butler,Texas,6,11,56,48,1
2015,Cincinnati,Purdue,8,9,66,65,1
2015,Georgetown,Eastern Washington,4,13,84,74,1
2015,Georgia St.,Baylor,14,3,57,56,1
2015,Kentucky,Hampton,1,16,79,56,1
2015,NC State,LSU,8,9,66,65,1
2015,North Carolina,Harvard,4,13,67,65,1
2015,Notre Dame,Northeastern,3,14,69,65,1
2015,Ohio St.,VCU,10,7,75,72,1
2015,UAB,Iowa St.,14,3,60,59,1
2015,UCLA,SMU,11,6,60,59,1
2015,Utah,Stephen F. Austin,5,12,57,50,1
2015,Villanova,Lafayette,1,16,93,52,1
2015,Xavier,Mississippi,6,11,76,57,1
2015,Dayton,Providence,11,6,66,53,1
2015,Duke,Robert Morris,1,16,85,56,1
2015,Gonzaga,North Dakota St.,2,15,86,76,1
2015,Iowa,Davidson,7,10,83,52,1
2015,Kansas,New Mexico St.,2,15,75,56,1
2015,Louisville,UC Irvine,4,13,57,55,1
2015,Maryland,Valparaiso,4,13,65,62,1
2015,Michigan St.,Georgia,7,10,70,63,1
2015,Northern Iowa,Wyoming,5,12,71,54,1
2015,Oklahoma,Albany,3,14,69,60,1
2015,Oregon,Oklahoma St.,8,9,79,73,1
2015,San Diego St.,St. John's,8,9,76,64,1
2015,Virginia,Belmont,2,15,79,67,1
2015,West Virginia,Buffalo,5,12,68,62,1
2015,Wichita St.,Indiana,7,10,81,76,1
2015,Wisconsin,Coastal Carolina,1,16,86,72,1
2015,Arizona,Ohio St.,2,10,73,58,1
2015,Kentucky,Cincinnati,1,8,64,51,1
2015,NC State,Villanova,8,1,71,68,1
2015,North Carolina,Arkansas,4,5,87,78,1
2015,Notre Dame,Butler,3,6,67,64,1
2015,UCLA,UAB,11,14,92,75,1
2015,Utah,Georgetown,5,4,75,64,1
2015,Xavier,Georgia St.,6,14,75,67,1
2015,Duke,San Diego St.,1,8,68,49,1
2015,Gonzaga,Iowa,2,7,87,68,1
2015,Louisville,Northern Iowa,4,5,66,53,1
2015,Michigan St.,Virginia,7,2,60,54,1
2015,Oklahoma,Dayton,3,11,72,66,1
2015,West Virginia,Maryland,5,4,69,59,1
2015,Wichita St.,Kansas,7,2,78,65,1
2015,Wisconsin,Oregon,1,8,72,65,1
2015,Arizona,Xavier,2,6,68,60,1
2015,Kentucky,West Virginia,1,5,78,39,1
2015,Notre Dame,Wichita St.,3,7,81,70,1
2015,Wisconsin,North Carolina,1,4,79,72,1
2015,Duke,Utah,1,5,63,57,1
2015,Gonzaga,UCLA,2,11,74,62,1
2015,Louisville,NC State,4,8,75,65,1
2015,Michigan St.,Oklahoma,7,3,62,58,1
2015,Kentucky,Notre Dame,1,3,68,66,1
2015,Wisconsin,Arizona,1,2,85,78,1
2015,Duke,Gonzaga,1,2,66,52,1
2015,Michigan St.,Louisville,7,4,76,70,1
2015,Duke,Michigan St.,1,7,81,61,1
2015,Wisconsin,Kentucky,1,1,71,64,1
2015,Duke,Wisconsin,1,1,68,63,1
2016,Florida Gulf Coast,Fairleigh Dickinson,16,16,96,65,1
2016,Wichita St.,Vanderbilt,11,11,70,50,1
2016,Holy Cross,Southern,16,16,59,55,1
2016,Michigan,Tulsa,11,11,67,62,1
2016,Arkansas Little Rock,Purdue,12,5,85,83,1
2016,Butler,Texas Tech,9,8,71,61,1
2016,Connecticut,Colorado,9,8,74,67,1
2016,Duke,UNC Wilmington,4,13,93,85,1
2016,Gonzaga,Seton Hall,11,6,68,52,1
2016,Indiana,Chattanooga,5,12,99,74,1
2016,Iowa St.,Iona,4,13,94,81,1
2016,Kansas,Austin Peay,1,16,105,79,1
2016,Kentucky,Stony Brook,4,13,85,57,1
2016,Miami FL,Buffalo,3,14,79,72,1
2016,North Carolina,Florida Gulf Coast,1,16,83,67,1
2016,Providence,USC,9,8,70,69,1
2016,Utah,Fresno St.,3,14,80,69,1
2016,Virginia,Hampton,1,16,81,45,1
2016,Wichita St.,Arizona,11,6,65,55,1
2016,Yale,Baylor,12,5,79,75,1
2016,Hawaii,California,13,4,77,66,1
2016,Iowa,Temple,7,10,72,70,1
2016,Maryland,South Dakota St.,5,12,79,74,1
2016,Middle Tennessee,Michigan St.,15,2,90,81,1
2016,Northern Iowa,Texas,11,6,75,72,1
2016,Notre Dame,Michigan,6,11,70,63,1
2016,Oklahoma,Cal St. Bakersfield,2,15,82,68,1
2016,Oregon,Holy Cross,1,16,91,52,1
2016,Stephen F. Austin,West Virginia,14,3,70,56,1
2016,St. Joseph's,Cincinnati,8,9,78,76,1
2016,Syracuse,Dayton,10,7,70,51,1
2016,Texas A&M,Wisconsin Green Bay,3,14,92,65,1
2016,VCU,Oregon St.,10,7,75,67,1
2016,Villanova,UNC Asheville,2,15,86,56,1
2016,Wisconsin,Pittsburgh,7,10,47,43,1
2016,Xavier,Weber St.,2,15,71,53,1
2016,Duke,Yale,4,12,71,64,1
2016,Gonzaga,Utah,11,3,82,59,1
2016,Indiana,Kentucky,5,4,73,67,1
2016,Iowa St.,Arkansas Little Rock,4,12,78,61,1
2016,Kansas,Connecticut,1,9,73,61,1
2016,Miami FL,Wichita St.,3,11,65,57,1
2016,North Carolina,Providence,1,9,85,66,1
2016,Virginia,Butler,1,9,77,69,1
2016,Maryland,Hawaii,5,13,73,60,1
2016,Notre Dame,Stephen F. Austin,6,14,76,75,1
2016,Oklahoma,VCU,2,10,85,81,1
2016,Oregon,St. Joseph's,1,8,69,64,1
2016,Syracuse,Middle Tennessee,10,15,75,50,1
2016,Texas A&M,Northern Iowa,3,11,92,88,1
2016,Villanova,Iowa,2,7,87,68,1
2016,Wisconsin,Xavier,7,2,66,63,1
2016,Kansas,Maryland,1,5,79,63,1
2016,Oklahoma,Texas A&M,2,3,77,63,1
2016,Oregon,Duke,1,4,82,68,1
2016,Villanova,Miami FL,2,3,92,69,1
2016,North Carolina,Indiana,1,5,101,86,1
2016,Notre Dame,Wisconsin,6,7,61,56,1
2016,Syracuse,Gonzaga,10,11,63,60,1
2016,Virginia,Iowa St.,1,4,84,71,1
2016,Oklahoma,Oregon,2,1,80,68,1
2016,Villanova,Kansas,2,1,64,59,1
2016,North Carolina,Notre Dame,1,6,88,74,1
2016,Syracuse,Virginia,10,1,68,62,1
2016,North Carolina,Syracuse,1,10,83,66,1
2016,Villanova,Oklahoma,2,2,95,51,1
2016,Villanova,North Carolina,2,1,77,74,1
2017,Kansas St.,Wake Forest,11,11,95,88,1
2017,Mount St. Mary's,New Orleans,16,16,67,66,1
2017,UC Davis,North Carolina Central,16,16,67,63,1
2017,USC,Providence,11,11,75,71,1
2017,Arizona,North Dakota,2,15,100,82,1
2017,Butler,Winthrop,4,13,76,64,1
2017,Florida,East Tennessee St.,4,13,80,65,1
2017,Florida St.,Florida Gulf Coast,3,14,86,80,1
2017,Gonzaga,South Dakota St.,1,16,66,46,1
2017,Iowa St.,Nevada,5,12,84,73,1
2017,Middle Tennessee,Minnesota,12,5,81,72,1
2017,Northwestern,Vanderbilt,8,9,68,66,1
2017,Notre Dame,Princeton,5,12,60,58,1
2017,Purdue,Vermont,4,13,80,70,1
2017,St. Mary's,VCU,7,10,85,77,1
2017,Villanova,Mount St. Mary's,1,16,76,56,1
2017,Virginia,UNC Wilmington,5,12,76,71,1
2017,West Virginia,Bucknell,4,13,86,80,1
2017,Wisconsin,Virginia Tech,8,9,84,74,1
2017,Xavier,Maryland,11,6,76,65,1
2017,Arkansas,Seton Hall,8,9,77,71,1
2017,Baylor,New Mexico St.,3,14,91,73,1
2017,Cincinnati,Kansas St.,6,11,75,61,1
2017,Duke,Troy,2,15,87,65,1
2017,Kansas,UC Davis,1,16,100,62,1
2017,Kentucky,Northern Kentucky,2,15,79,70,1
2017,Louisville,Jacksonville St.,2,15,78,63,1
2017,Michigan,Oklahoma St.,7,10,92,91,1
2017,Michigan St.,Miami FL,9,8,78,58,1
2017,North Carolina,Texas Southern,1,16,103,64,1
2017,Oregon,Iona,3,14,93,77,1
2017,Rhode Island,Creighton,11,6,84,72,1
2017,South Carolina,Marquette,7,10,93,73,1
2017,UCLA,Kent,3,14,97,80,1
2017,USC,SMU,11,6,66,65,1
2017,Wichita St.,Dayton,10,7,64,58,1
2017,Arizona,St. Mary's,2,7,69,60,1
2017,Butler,Middle Tennessee,4,12,74,65,1
2017,Florida,Virginia,4,5,65,39,1
2017,Gonzaga,Northwestern,1,8,79,73,1
2017,Purdue,Iowa St.,4,5,80,76,1
2017,West Virginia,Notre Dame,4,5,83,71,1
2017,Wisconsin,Villanova,8,1,65,62,1
2017,Xavier,Florida St.,11,3,91,66,1
2017,Baylor,USC,3,11,82,78,1
2017,Kansas,Michigan St.,1,9,90,70,1
2017,Kentucky,Wichita St.,2,10,65,62,1
2017,Michigan,Louisville,7,2,73,69,1
2017,North Carolina,Arkansas,1,8,72,65,1
2017,Oregon,Rhode Island,3,11,75,72,1
2017,South Carolina,Duke,7,2,88,81,1
2017,UCLA,Cincinnati,3,6,79,67,1
2017,Gonzaga,West Virginia,1,4,61,58,1
2017,Kansas,Purdue,1,4,98,66,1
2017,Oregon,Michigan,3,7,69,68,1
2017,Xavier,Arizona,11,2,73,71,1
2017,Florida,Wisconsin,4,8,84,83,1
2017,Kentucky,UCLA,2,3,86,75,1
2017,North Carolina,Butler,1,4,92,80,1
2017,South Carolina,Baylor,7,3,70,50,1
2017,Gonzaga,Xavier,1,11,83,59,1
2017,Oregon,Kansas,3,1,74,60,1
2017,North Carolina,Kentucky,1,2,75,73,1
2017,South Carolina,Florida,7,4,77,70,1
2017,Gonzaga,South Carolina,1,7,77,73,1
2017,North Carolina,Oregon,1,3,77,76,1
2017,North Carolina,Gonzaga,1,1,71,65,1
2018,Radford,LIU Brooklyn,16,16,71,61,1
2018,St. Bonaventure,UCLA,11,11,65,58,1
2018,Syracuse,Arizona St.,11,11,60,56,1
2018,Texas Southern,North Carolina Central,16,16,64,46,1
2018,Alabama,Virginia Tech,9,8,86,83,1
2018,Buffalo,Arizona,13,4,89,68,1
2018,Duke,Iona,2,15,89,67,1
2018,Florida,St. Bonaventure,6,11,77,62,1
2018,Gonzaga,UNC Greensboro,4,13,68,64,1
2018,Houston,San Diego St.,6,11,67,65,1
2018,Kansas,Penn,1,16,76,60,1
2018,Kentucky,Davidson,5,12,78,73,1
2018,Loyola Chicago,Miami FL,11,6,64,62,1
2018,Michigan,Montana,3,14,61,47,1
2018,Ohio St.,South Dakota St.,5,12,81,73,1
2018,Rhode Island,Oklahoma,7,10,83,78,1
2018,Seton Hall,NC State,8,9,94,83,1
2018,Tennessee,Wright St.,3,14,73,47,1
2018,Texas Tech,Stephen F. Austin,3,14,70,60,1
2018,Villanova,Radford,1,16,87,61,1
2018,Auburn,College of Charleston,4,13,62,58,1
2018,Butler,Arkansas,10,7,79,62,1
2018,Cincinnati,Georgia St.,2,15,68,53,1
2018,Clemson,New Mexico St.,5,12,79,68,1
2018,Florida St.,Missouri,9,8,67,54,1
2018,Kansas St.,Creighton,9,8,69,59,1
2018,Marshall,Wichita St.,13,4,81,75,1
2018,Michigan St.,Bucknell,3,14,82,78,1
2018,Nevada,Texas,7,10,87,83,1
2018,North Carolina,Lipscomb,2,15,84,66,1
2018,Purdue,Cal St. Fullerton,2,15,74,48,1
2018,Syracuse,TCU,11,6,57,52,1
2018,Texas A&M,Providence,7,10,73,69,1
2018,UMBC,Virginia,16,1,74,54,1
2018,West Virginia,Murray St.,5,12,85,68,1
2018,Xavier,Texas Southern,1,16,102,83,1
2018,Duke,Rhode Island,2,7,87,62,1
2018,Gonzaga,Ohio St.,4,5,90,84,1
2018,Kansas,Seton Hall,1,8,83,79,1
2018,Kentucky,Buffalo,5,13,95,75,1
2018,Loyola Chicago,Tennessee,11,3,63,62,1
2018,Michigan,Houston,3,6,64,63,1
2018,Texas Tech,Florida,3,6,69,66,1
2018,Villanova,Alabama,1,9,81,58,1
2018,Clemson,Auburn,5,4,84,53,1
2018,Florida St.,Xavier,9,1,75,70,1
2018,Kansas St.,UMBC,9,16,50,43,1
2018,Nevada,Cincinnati,7,2,75,73,1
2018,Purdue,Butler,2,10,76,73,1
2018,Syracuse,Michigan St.,11,3,55,53,1
2018,Texas A&M,North Carolina,7,2,86,65,1
2018,West Virginia,Marshall,5,13,94,71,1
2018,Florida St.,Gonzaga,9,4,75,60,1
2018,Kansas St.,Kentucky,9,5,61,58,1
2018,Loyola Chicago,Nevada,11,7,69,68,1
2018,Michigan,Texas A&M,3,7,99,72,1
2018,Duke,Syracuse,2,11,69,65,1
2018,Kansas,Clemson,1,5,80,76,1
2018,Texas Tech,Purdue,3,2,78,65,1
2018,Villanova,West Virginia,1,5,90,78,1
2018,Loyola Chicago,Kansas St.,11,9,78,62,1
2018,Michigan,Florida St.,3,9,58,54,1
2018,Kansas,Duke,1,2,85,81,1
2018,Villanova,Texas Tech,1,3,71,59,1
2018,Michigan,Loyola Chicago,3,11,69,57,1
2018,Villanova,Kansas,1,1,95,79,1
2018,Villanova,Michigan,1,3,79,62,1
2019,Belmont,Temple,11,11,81,70,1
2019,Fairleigh Dickinson,Prairie View A&M,16,16,82,76,1
2019,Arizona St.,St. John's,11,11,74,65,1
2019,North Dakota St.,North Carolina Central,16,16,78,74,1
2019,Auburn,New Mexico St.,5,12,78,77,1
2019,Baylor,Syracuse,9,8,78,69,1
2019,Florida,Nevada,10,7,70,61,1
2019,Florida St.,Vermont,4,13,76,69,1
2019,Gonzaga,Fairleigh Dickinson,1,16,87,49,1
2019,Kansas,Northeastern,4,13,87,53,1
2019,Kentucky,Abilene Christian,2,15,79,44,1
2019,LSU,Yale,3,14,79,74,1
2019,Maryland,Belmont,6,11,79,77,1
2019,Michigan,Montana,2,15,74,55,1
2019,Michigan St.,Bradley,2,15,76,65,1
2019,Minnesota,Louisville,10,7,86,76,1
2019,Murray St.,Marquette,12,5,83,64,1
2019,Purdue,Old Dominion,3,14,61,48,1
2019,Villanova,St. Mary's,6,11,61,57,1
2019,Wofford,Seton Hall,7,10,84,68,1
2019,Buffalo,Arizona St.,6,11,91,74,1
2019,Duke,North Dakota St.,1,16,85,62,1
2019,Houston,Georgia St.,3,14,84,55,1
2019,Iowa,Cincinnati,10,7,79,72,1
2019,Liberty,Mississippi St.,12,5,80,76,1
2019,North Carolina,Iona,1,16,88,73,1
2019,Ohio St.,Iowa St.,11,6,62,59,1
2019,Oklahoma,Mississippi,9,8,95,72,1
2019,Oregon,Wisconsin,12,5,72,54,1
2019,Tennessee,Colgate,2,15,77,70,1
2019,Texas Tech,Northern Kentucky,3,14,72,57,1
2019,UC Irvine,Kansas St.,13,4,70,64,1
2019,UCF,VCU,9,8,73,58,1
2019,Virginia,Gardner Webb,1,16,71,56,1
2019,Virginia Tech,Saint Louis,4,13,66,52,1
2019,Washington,Utah St.,9,8,78,61,1
2019,Auburn,Kansas,5,4,89,75,1
2019,Florida St.,Murray St.,4,12,90,62,1
2019,Gonzaga,Baylor,1,9,83,71,1
2019,Kentucky,Wofford,2,7,62,56,1
2019,LSU,Maryland,3,6,69,67,1
2019,Michigan,Florida,2,10,64,49,1
2019,Michigan St.,Minnesota,2,10,70,50,1
2019,Purdue,Villanova,3,6,87,61,1
2019,Duke,UCF,1,9,77,76,1
2019,Houston,Ohio St.,3,11,74,59,1
2019,North Carolina,Washington,1,9,81,59,1
2019,Oregon,UC Irvine,12,13,73,54,1
2019,Tennessee,Iowa,2,10,83,77,1
2019,Texas Tech,Buffalo,3,6,78,58,1
2019,Virginia,Oklahoma,1,9,63,51,1
2019,Virginia Tech,Liberty,4,12,67,58,1
2019,Gonzaga,Florida St.,1,4,72,58,1
2019,Purdue,Tennessee,3,2,99,94,1
2019,Texas Tech,Michigan,3,2,63,44,1
2019,Virginia,Oregon,1,12,53,49,1
2019,Auburn,North Carolina,5,1,97,80,1
2019,Duke,Virginia Tech,1,4,75,73,1
2019,Kentucky,Houston,2,3,62,58,1
2019,Michigan St.,LSU,2,3,80,63,1
2019,Texas Tech,Gonzaga,3,1,75,69,1
2019,Virginia,Purdue,1,3,80,75,1
2019,Auburn,Kentucky,5,2,77,71,1
2019,Michigan St.,Duke,2,1,68,67,1
2019,Texas Tech,Michigan St.,3,2,61,51,1
2019,Virginia,Auburn,1,5,63,62,1
2019,Virginia,Texas Tech,1,3,85,77,1
2021,Drake,Wichita St.,11,11,53,52,1
2021,Norfolk St.,Appalachian St.,16,16,54,53,1
2021,Texas Southern,Mount St. Mary's,16,16,60,52,1
2021,UCLA,Michigan St.,11,11,86,80,1
2021,Arkansas,Colgate,3,14,85,68,1
2021,Baylor,Hartford,1,16,79,55,1
2021,Florida,Virginia Tech,7,10,75,70,1
2021,Houston,Cleveland St.,2,15,87,56,1
2021,Illinois,Drexel,1,16,78,49,1
2021,Loyola Chicago,Georgia Tech,8,9,71,60,1
2021,North Texas,Purdue,13,4,78,69,1
2021,Oklahoma St.,Liberty,4,13,69,60,1
